C08g_app1	C08g_app1_rg1	<del>but when the ne<del>besides	C08g_app1_rg2	besides,	
C08g_app104	C08g_app104_rg1	erect <del>ha<del>	C08g_app104_rg2	erect;	
C08g_app108	C08g_app108_rg1	with a <del>kind<del> by a recapitulation of the history of	C08g_app108_rg2	by a recapitulation of the history of	
C08g_app109	C08g_app109_rg1	chemistry	C08g_app109_rg2	chemistry,	
C08g_app111	C08g_app111_rg1	remark-ed the various improvements	C08g_app111_rg2	the various improvements	
C08g_app112	C08g_app112_rg1	<del>and discoveries<del>differentmade	C08g_app112_rg2	made	
C08g_app114	C08g_app114_rg1	different	C08g_app114_rg2	various	
C08g_app116	C08g_app116_rg1	<del>had made<del>of learning pronoucing 	C08g_app116_rg2	of learning, pronouncing with fervour	
C08g_app118	C08g_app118_rg1	greatest discoverers <del>with great warmth<del>with fervour.	C08g_app118_rg2	most distinguished discoverers.	
C08g_app122	C08g_app122_rg1	<del>chemistry<del>the	C08g_app122_rg2	the	
C08g_app125	C08g_app125_rg1	<del>termes<del>	C08g_app125_rg2	elementary	
C08g_app127	C08g_app127_rg1	<del>made<del>after making	C08g_app127_rg2	after having made	
C08g_app130	C08g_app130_rg1	experiments <del>and<del>heconcluded	C08g_app130_rg2	experiments, he concluded	
C08g_app132	C08g_app132_rg1	modern chemistry,	C08g_app132_rg2	modernchemistry	
C08g_app134	C08g_app134_rg1	terms	C08g_app134_rg2	words	
C08g_app136	C08g_app136_rg1	 forget.<p/> "the	C08g_app136_rg2	forget:—<p/><p/>"the	
C08g_app138	C08g_app138_rg1	science" 	C08g_app138_rg2	science,"	
C08g_app140	C08g_app140_rg1	impossibilities  "and	C08g_app140_rg2	impossibilities, and	
C08g_app142	C08g_app142_rg1	 "masters	C08g_app142_rg2	masters	
C08g_app144	C08g_app144_rg1	little.	C08g_app144_rg2	little;	
C08g_app146	C08g_app146_rg1	 "<del>no<del> know that metals cannot be	C08g_app146_rg2	know that metals cannot be	
C08g_app147	C08g_app147_rg1	 "transmuted	C08g_app147_rg2	transmuted,	
C08g_app149	C08g_app149_rg1	 "<del>vitæ<del>of	C08g_app149_rg2	of	
C08g_app151	C08g_app151_rg1	<del>mere<del> chimæra.	C08g_app151_rg2	chimera.	
C08g_app153	C08g_app153_rg1	 "these philosophers	C08g_app153_rg2	these philosophers,	
C08g_app155	C08g_app155_rg1	<del>eyes<del> hands	C08g_app155_rg2	hands	
C08g_app156	C08g_app156_rg1	 "appear	C08g_app156_rg2	seem	
C08g_app158	C08g_app158_rg1	 "dirt	C08g_app158_rg2	dirt,	
C08g_app160	C08g_app160_rg1	pore	C08g_app160_rg2	pour	
C08g_app162	C08g_app162_rg1	 "the	C08g_app162_rg2	the	
C08g_app164	C08g_app164_rg1	crucible, have	C08g_app164_rg2	cruscible,  "have	
C08g_app166	C08g_app166_rg1	 "they	C08g_app166_rg2	they	
C08g_app168	C08g_app168_rg1	 "nature	C08g_app168_rg2	nature,	
C08g_app170	C08g_app170_rg1	shew	C08g_app170_rg2	show	
C08g_app172	C08g_app172_rg1	"in	C08g_app172_rg2	in	
C08g_app174	C08g_app174_rg1	 "the heavens;–	C08g_app174_rg2	the	
C08g_app175	C08g_app175_rg1	heavens:	C08g_app175_rg2	heavens;	
C08g_app177	C08g_app177_rg1	discoverd	C08g_app177_rg2	discovered	
C08g_app179	C08g_app179_rg1	 "the	C08g_app179_rg2	the	
C08g_app181	C08g_app181_rg1	 "of	C08g_app181_rg2	of	
C08g_app183	C08g_app183_rg1	<del>new<del> they have	C08g_app183_rg2	they have	
C08g_app184	C08g_app184_rg1	 "acquired	C08g_app184_rg2	acquired	
C08g_app186	C08g_app186_rg1	powers;	C08g_app186_rg2	powers;–	
C08g_app188	C08g_app188_rg1	 "thunders	C08g_app188_rg2	thunders	
C08g_app190	C08g_app190_rg1	mimic	C08g_app190_rg2	mimick	
C08g_app192	C08g_app192_rg1	 "earthquake,	C08g_app192_rg2	earthquake,	
C08g_app194	C08g_app194_rg1	 "invisible	C08g_app194_rg2	invisible	
C08g_app196	C08g_app196_rg1	 "shadows."<p/>	C08g_app196_rg2	shadows."<p/>	
